rowid,building,floor,height,rooms,square,price,Старая цена,Разница в ценах,Разница в процентах
1-10,1,4,32,2комн.,62.36,9302800,8813300,489500,1.06
1-11,1,4,32,2комн.,62.65,9346000,8854300,491700,1.06
1-118,1,23,32,2комн.,62.36,9971700,9261600,710100,1.08
1-12,1,4,32,3комн.,86.83,13365000,12291800,1073200,1.09
1-124,1,24,32,2комн.,62.36,10096100,9377200,718900,1.08
1-128,1,25,32,1комн.,40.03,7078500,6574500,504000,1.08
1-129,1,25,32,1комн.,39.69,7018400,6518600,499800,1.08
1-131,1,25,32,1комн.,40.04,7080300,6576100,504200,1.08
1-134,1,26,32,1комн.,40.03,7186000,6674300,511700,1.08
1-135,1,26,32,1комн.,39.69,7125000,6617600,507400,1.08
1-136,1,26,32,2комн.,62.36,10427100,9684600,742500,1.08
1-137,1,26,32,1комн.,40.04,7187800,6676000,511800,1.08
1-14,1,5,32,2комн.,65.53,9775700,9261300,514400,1.06
1-152,1,29,32,1комн.,40.03,7428100,6899100,529000,1.08
1-153,1,29,32,1комн.,39.69,7365000,6840500,524500,1.08
1-154,1,29,32,2комн.,62.36,10804200,10034800,769400,1.08
1-155,1,29,32,1комн.,40.04,7430000,6900900,529100,1.08
1-158,1,30,32,1комн.,40.03,7505400,6971000,534400,1.08
1-159,1,30,32,1комн.,39.69,7441700,6911800,529900,1.08
1-16,1,5,32,2комн.,62.36,9302800,8813300,489500,1.06
1-160,1,30,32,2комн.,62.36,10924700,10146700,778000,1.08
1-161,1,30,32,1комн.,40.04,7507300,6972700,534600,1.08
1-162,1,30,32,4комн.,106.54,18250100,16796500,1453600,1.09
1-163,1,31,32,4комн.,101.67,17612300,16211200,1401100,1.09
1-164,1,31,32,1комн.,40.03,7582800,7042800,540000,1.08
1-165,1,31,32,1комн.,39.69,7518400,6983000,535400,1.08
1-166,1,31,32,2комн.,62.36,11045200,10258700,786500,1.08
1-167,1,31,32,1комн.,40.04,7584700,7044600,540100,1.08
1-168,1,31,32,4комн.,106.54,18456000,16987700,1468300,1.09
1-169,1,32,32,4комн.,101.67,17864900,16445800,1419100,1.09
1-17,1,5,32,2комн.,62.65,9346000,8854300,491700,1.06
1-170,1,32,32,1комн.,40.03,7682200,7135200,547000,1.08
1-171,1,32,32,1комн.,39.69,7617000,7074600,542400,1.08
1-172,1,32,32,2комн.,62.36,11200100,10402500,797600,1.08
1-173,1,32,32,1комн.,40.04,7684200,7137000,547200,1.08
1-2,1,3,32,2комн.,65.53,9771600,9257500,514100,1.06
1-20,1,6,32,2комн.,65.53,9775700,9261300,514400,1.06
1-22,1,6,32,2комн.,62.36,9302800,8813300,489500,1.06
1-23,1,6,32,2комн.,62.65,9346000,8854300,491700,1.06
1-26,1,7,32,2комн.,65.53,9775700,9261300,514400,1.06
1-28,1,7,32,2комн.,62.36,9302800,8813300,489500,1.06
1-29,1,7,32,2комн.,62.65,9346000,8854300,491700,1.06
1-32,1,8,32,2комн.,65.53,9796200,9280400,515800,1.06
1-34,1,8,32,2комн.,62.36,9322300,8831400,490900,1.06
1-4,1,3,32,2комн.,62.36,9298900,8809600,489300,1.06
1-44,1,10,32,2комн.,65.53,10090600,9372000,718600,1.08
1-5,1,3,32,2комн.,62.65,9342100,8850600,491500,1.06
1-50,1,11,32,2комн.,65.53,10094700,9375800,718900,1.08
1-56,1,12,32,2комн.,65.53,10098800,9379600,719200,1.08
1-6,1,3,32,3комн.,86.83,13359500,12286800,1072700,1.09
1-62,1,13,32,2комн.,65.53,10103700,9384200,719500,1.08
1-65,1,13,32,2комн.,62.65,9659700,8971800,687900,1.08
1-70,1,14,32,2комн.,62.36,9621200,8936100,685100,1.08
1-74,1,15,32,2комн.,65.53,10116900,9396400,720500,1.08
1-8,1,4,32,2комн.,65.53,9775700,9261300,514400,1.06
1-80,1,16,32,2комн.,65.53,10121000,9400300,720700,1.08
1-86,1,17,32,2комн.,65.53,10180200,9455200,725000,1.08
2-135,2,18,32,1комн.,38.79,6492300,6030000,462300,1.08
2-180,2,23,32,1комн.,38.79,6616900,6145700,471200,1.08
2-188,2,24,32,1комн.,38.8,6693600,6216900,476700,1.08
2-189,2,24,32,1комн.,38.79,6691900,6215300,476600,1.08
2-194,2,25,32,2комн.,63.24,10293300,9560300,733000,1.08
2-197,2,25,32,1комн.,38.8,6768600,6286600,482000,1.08
2-198,2,25,32,1комн.,38.79,6766800,6284900,481900,1.08
2-199,2,26,32,2комн.,58.34,9608500,8924300,684200,1.08
