building,floor,rowid,square,price
1,332,1-3,39.69,4859100
1,432,1-9,39.69,4861300
1,532,1-15,39.69,4863600
1,632,1-21,39.69,4865800
1,1032,1-45,39.69,4921800
1,3232,1-171,39.69,7207300
1,3232,1-170,40.03,7269000
1,3232,1-173,40.04,7270900
1,332,1-4,62.36,7341600
1,432,1-10,62.36,7345100
1,532,1-16,62.36,7348600
1,632,1-22,62.36,7352200
1,732,1-28,62.36,7355700
1,832,1-34,62.36,7359200
1,932,1-40,62.36,7362700
1,332,1-5,62.65,7375700
1,432,1-11,62.65,7379300
1,532,1-17,62.65,7382800
1,632,1-23,62.65,7386300
1,732,1-29,62.65,7389900
1,832,1-35,62.65,7393400
1,1032,1-46,62.36,7440200
1,1032,1-47,62.65,7474800
1,332,1-2,65.53,7714800
1,432,1-8,65.53,7718500
1,532,1-14,65.53,7722200
1,632,1-20,65.53,7725900
1,732,1-26,65.53,7729600
1,832,1-32,65.53,7733300
1,932,1-38,65.53,7737000
1,1032,1-44,65.53,7818400
1,432,1-7,79.41,8979500
1,332,1-6,86.83,9862600
1,432,1-12,86.83,9867500
1,532,1-18,86.83,9872400
1,632,1-24,86.83,9877300
1,732,1-30,86.83,9882200
1,832,1-36,86.83,10034200
1,932,1-42,86.83,10039100
1,1032,1-48,86.83,10048900
1,3232,1-172,62.36,11031000
1,3232,1-169,101.67,17219000
1,3232,1-174,106.54,18043800
2,332,2-4,38.59,4724400
2,432,2-13,38.59,4726600
2,532,2-22,38.59,4728800
2,632,2-31,38.59,4731000
2,732,2-40,38.59,4733100
2,832,2-49,38.59,4735300
2,932,2-58,38.59,4737500
2,332,2-9,38.79,4748900
2,332,2-8,38.8,4750100
2,432,2-18,38.79,4751100
2,432,2-17,38.8,4752300
2,532,2-27,38.79,4753300
2,532,2-26,38.8,4754500
2,632,2-36,38.79,4755500
2,632,2-35,38.8,4756700
2,732,2-45,38.79,4757700
2,732,2-44,38.8,4758900
2,832,2-54,38.79,4759900
2,832,2-53,38.8,4761100
2,932,2-63,38.79,4762100
2,932,2-62,38.8,4763300
2,1032,2-72,38.79,4766400
2,1032,2-71,38.8,4767700
2,332,2-1,58.34,6868300
2,432,2-10,58.34,6871600
2,532,2-19,58.34,6874900
2,3232,2-256,38.59,6876800
2,632,2-28,58.34,6878200
2,732,2-37,58.34,6881500
2,832,2-46,58.34,6884800
2,3232,2-261,38.79,6890600
2,3232,2-260,38.8,6892400
2,1032,2-64,58.34,6894700
2,332,2-3,60.66,7141500
2,432,2-12,60.66,7144900
2,532,2-21,60.66,7148300
