rowid,building,floor,height,rooms,square,price
2-1,2,3,32,2комн.,58.34,7516000
2-100,2,14,32,2комн.,58.34,7559300
2-102,2,14,32,2комн.,60.66,7859900
2-104,2,14,32,2комн.,63.24,8194200
2-105,2,14,32,2комн.,64.5,8357500
2-106,2,14,32,3комн.,86.25,10784600
2-107,2,14,32,1комн.,38.8,5226900
2-108,2,14,32,1комн.,38.79,5225500
2-109,2,15,32,2комн.,58.34,7562900
2-11,2,4,32,2комн.,68.64,8932100
2-111,2,15,32,2комн.,60.66,7863700
2-113,2,15,32,2комн.,63.24,8198100
2-114,2,15,32,2комн.,64.5,8361400
2-116,2,15,32,1комн.,38.8,5229300
2-117,2,15,32,1комн.,38.79,5227900
2-118,2,16,32,2комн.,58.34,7638600
2-119,2,16,32,2комн.,68.64,9114400
2-12,2,4,32,2комн.,60.66,7818700
2-120,2,16,32,2комн.,60.66,7979800
2-121,2,16,32,1комн.,38.59,5274900
2-122,2,16,32,2комн.,63.24,8319200
2-123,2,16,32,2комн.,64.5,8485000
2-124,2,16,32,3комн.,86.25,10955100
2-125,2,16,32,1комн.,38.8,5279600
2-126,2,16,32,1комн.,38.79,5278200
2-127,2,18,32,2комн.,58.34,7656600
2-128,2,18,32,2комн.,68.64,9135600
2-129,2,18,32,2комн.,60.66,7998600
2-131,2,18,32,2комн.,63.24,8338800
2-132,2,18,32,2комн.,64.5,8504900
2-133,2,18,32,3комн.,86.25,10981700
2-134,2,18,32,1комн.,38.8,5291600
2-135,2,18,32,1комн.,38.79,5290200
2-136,2,19,32,2комн.,58.34,7660200
2-137,2,19,32,2комн.,68.64,9139800
2-138,2,19,32,2комн.,60.66,8002300
2-139,2,19,32,1комн.,38.59,5289200
2-14,2,4,32,2комн.,63.24,8151200
2-140,2,19,32,2комн.,63.24,8342700
2-141,2,19,32,2комн.,64.5,8508900
2-142,2,19,32,3комн.,86.25,10987100
2-143,2,19,32,1комн.,38.8,5294000
2-144,2,19,32,1комн.,38.79,5292600
2-145,2,20,32,2комн.,58.34,7663800
2-147,2,20,32,2комн.,60.66,8006100
2-149,2,20,32,2комн.,63.24,8346600
2-15,2,4,32,2комн.,64.5,8313600
2-151,2,20,32,3комн.,86.25,10992400
2-152,2,20,32,1комн.,38.8,5296400
2-153,2,20,32,1комн.,38.79,5295000
2-154,2,21,32,2комн.,58.34,7667400
2-155,2,21,32,2комн.,68.64,9148300
2-156,2,21,32,2комн.,60.66,8009800
2-158,2,21,32,2комн.,63.24,8350500
2-159,2,21,32,2комн.,64.5,8516900
2-160,2,21,32,3комн.,86.25,10997700
2-161,2,21,32,1комн.,38.8,5298800
2-162,2,21,32,1комн.,38.79,5297400
2-164,2,22,32,2комн.,68.64,9152600
2-167,2,22,32,2комн.,63.24,8354400
2-168,2,22,32,2комн.,64.5,8520800
2-17,2,4,32,1комн.,38.8,5200500
2-170,2,22,32,1комн.,38.8,5301200
2-171,2,22,32,1комн.,38.79,5299800
2-172,2,23,32,2комн.,58.34,8770300
2-173,2,23,32,2комн.,68.64,10445900
2-174,2,23,32,2комн.,60.66,9156500
2-175,2,23,32,1комн.,38.59,6023400
2-176,2,23,32,2комн.,63.24,9546000
2-177,2,23,32,2комн.,64.5,9736200
2-178,2,23,32,3комн.,86.25,12628200
2-179,2,23,32,1комн.,38.8,6032200
2-18,2,4,32,1комн.,38.79,5199200
2-180,2,23,32,1комн.,38.79,6030700
2-181,2,24,32,2комн.,58.34,8881300
2-182,2,24,32,2комн.,68.64,10576500
2-183,2,24,32,2комн.,60.66,9271900
2-184,2,24,32,1комн.,38.59,6096900
2-185,2,24,32,2комн.,63.24,9666300
2-186,2,24,32,2комн.,64.5,9858900
2-187,2,24,32,3комн.,86.25,12792300
2-188,2,24,32,1комн.,38.8,6106100
2-189,2,24,32,1комн.,38.79,6104500
2-19,2,5,32,2комн.,58.34,7523300
2-190,2,25,32,2комн.,58.34,8992300
2-191,2,25,32,2комн.,68.64,10707100
2-192,2,25,32,2комн.,60.66,9387400
2-193,2,25,32,1комн.,38.59,6170300
2-194,2,25,32,2комн.,63.24,9786600
2-195,2,25,32,2комн.,64.5,9981600
2-196,2,25,32,3комн.,86.25,12956400
2-197,2,25,32,1комн.,38.8,6179900
2-198,2,25,32,1комн.,38.79,6178300
2-199,2,26,32,2комн.,58.34,9139300
2-2,2,3,32,2комн.,68.64,8927800
2-20,2,5,32,2комн.,68.64,8936300
2-200,2,26,32,2комн.,68.64,10880100
2-201,2,26,32,2комн.,60.66,9540300
2-202,2,26,32,1комн.,38.59,6267600
2-203,2,26,32,2комн.,63.24,9946000
2-204,2,26,32,2комн.,64.5,10144200
2-205,2,26,32,3комн.,86.25,13173800
2-206,2,26,32,1комн.,38.8,6277700
2-207,2,26,32,1комн.,38.79,6276100
2-208,2,27,32,2комн.,58.34,9250400
2-209,2,27,32,2комн.,68.64,11010700
