rowid,building,floor,height,rooms,square,price
1-10,1,4,32,2комн.,62.36,9248500
1-11,1,4,32,2комн.,62.65,9291500
1-118,1,23,32,2комн.,62.36,9719000
1-12,1,4,32,3комн.,86.83,13165300
1-123,1,24,32,1комн.,39.69,6739100
1-124,1,24,32,2комн.,62.36,9840200
1-125,1,24,32,1комн.,40.04,6798500
1-128,1,25,32,1комн.,40.03,6899100
1-129,1,25,32,1комн.,39.69,6840500
1-131,1,25,32,1комн.,40.04,6900800
1-134,1,26,32,1комн.,40.03,7003900
1-135,1,26,32,1комн.,39.69,6944400
1-136,1,26,32,2комн.,62.36,10162800
1-137,1,26,32,1комн.,40.04,7005600
1-139,1,27,32,4комн.,101.67,16245900
1-14,1,5,32,2комн.,65.53,9718600
1-140,1,27,32,1комн.,40.03,7089100
1-141,1,27,32,1комн.,39.69,7028800
1-142,1,27,32,2комн.,62.36,10295500
1-143,1,27,32,1комн.,40.04,7090800
1-145,1,28,32,4комн.,101.67,16437300
1-146,1,28,32,1комн.,40.03,7164400
1-147,1,28,32,1комн.,39.69,7103600
1-148,1,28,32,2комн.,62.36,10412900
1-149,1,28,32,1комн.,40.04,7166200
1-151,1,29,32,4комн.,101.67,16628800
1-152,1,29,32,1комн.,40.03,7239800
1-153,1,29,32,1комн.,39.69,7178300
1-154,1,29,32,2комн.,62.36,10530300
1-155,1,29,32,1комн.,40.04,7241600
1-157,1,30,32,4комн.,101.67,16820300
1-158,1,30,32,1комн.,40.03,7315200
1-159,1,30,32,1комн.,39.69,7253100
1-16,1,5,32,2комн.,62.36,9248500
1-160,1,30,32,2комн.,62.36,10647800
1-161,1,30,32,1комн.,40.04,7317000
1-162,1,30,32,4комн.,106.54,17625900
1-163,1,31,32,4комн.,101.67,17011700
1-164,1,31,32,1комн.,40.03,7390600
1-165,1,31,32,1комн.,39.69,7327800
1-166,1,31,32,2комн.,62.36,10765200
1-167,1,31,32,1комн.,40.04,7392400
1-168,1,31,32,4комн.,106.54,17826600
1-169,1,32,32,4комн.,101.67,17257900
1-17,1,5,32,2комн.,62.65,9291500
1-170,1,32,32,1комн.,40.03,7487500
1-171,1,32,32,1комн.,39.69,7423900
1-172,1,32,32,2комн.,62.36,10916200
1-173,1,32,32,1комн.,40.04,7489400
1-174,1,32,32,4комн.,106.54,18084500
1-2,1,3,32,2комн.,65.53,9714600
1-20,1,6,32,2комн.,65.53,9718600
1-22,1,6,32,2комн.,62.36,9248500
1-23,1,6,32,2комн.,62.65,9291500
1-26,1,7,32,2комн.,65.53,9718600
1-28,1,7,32,2комн.,62.36,9248500
1-29,1,7,32,2комн.,62.65,9291500
1-32,1,8,32,2комн.,65.53,9738600
1-34,1,8,32,2комн.,62.36,9267500
1-4,1,3,32,2комн.,62.36,9244600
1-44,1,10,32,2комн.,65.53,9834800
1-5,1,3,32,2комн.,62.65,9287600
1-50,1,11,32,2комн.,65.53,9838800
1-53,1,11,32,2комн.,62.65,9406400
1-56,1,12,32,2комн.,65.53,9842800
1-6,1,3,32,3комн.,86.83,13160000
1-62,1,13,32,2комн.,65.53,9847600
1-65,1,13,32,2комн.,62.65,9414800
1-70,1,14,32,2комн.,62.36,9377300
1-74,1,15,32,2комн.,65.53,9860400
1-8,1,4,32,2комн.,65.53,9718600
1-80,1,16,32,2комн.,65.53,9864400
1-82,1,16,32,2комн.,62.36,9387200
1-86,1,17,32,2комн.,65.53,9922100
1-94,1,19,32,2комн.,62.36,9460400
2-11,2,4,32,2комн.,68.64,10277200
2-134,2,18,32,1комн.,38.8,6329400
2-135,2,18,32,1комн.,38.79,6327700
2-173,2,23,32,2комн.,68.64,10714500
2-176,2,23,32,2комн.,63.24,9794200
2-179,2,23,32,1комн.,38.8,6450800
2-180,2,23,32,1комн.,38.79,6449200
2-182,2,24,32,2комн.,68.64,10843800
2-185,2,24,32,2комн.,63.24,9913300
2-188,2,24,32,1комн.,38.8,6523900
2-189,2,24,32,1комн.,38.79,6522200
2-190,2,25,32,2комн.,58.34,9219400
2-191,2,25,32,2комн.,68.64,10973000
2-192,2,25,32,2комн.,60.66,9623100
2-194,2,25,32,2комн.,63.24,10032400
2-195,2,25,32,2комн.,64.5,10232300
2-196,2,25,32,3комн.,86.25,13919000
2-197,2,25,32,1комн.,38.8,6597000
2-198,2,25,32,1комн.,38.79,6595300
2-199,2,26,32,2комн.,58.34,9365000
2-2,2,3,32,2комн.,68.64,10273000
2-20,2,5,32,2комн.,68.64,10277200
2-200,2,26,32,2комн.,68.64,11144300
2-201,2,26,32,2комн.,60.66,9774500
2-202,2,26,32,1комн.,38.59,6681100
2-203,2,26,32,2комн.,63.24,10190200
2-204,2,26,32,2комн.,64.5,10393200
2-205,2,26,32,3комн.,86.25,14134200
2-207,2,26,32,1комн.,38.79,6692100
2-208,2,27,32,2комн.,58.34,9474800
2-209,2,27,32,2комн.,68.64,11273500
2-210,2,27,32,2комн.,60.66,9888700
2-211,2,27,32,1комн.,38.59,6753800
2-212,2,27,32,2комн.,63.24,10309300
2-213,2,27,32,2комн.,64.5,10514700
2-215,2,27,32,1комн.,38.8,6766800
2-216,2,27,32,1комн.,38.79,6765100
2-217,2,28,32,2комн.,58.34,9584700
2-218,2,28,32,2комн.,68.64,11402800
2-219,2,28,32,2комн.,60.66,10002900
2-220,2,28,32,1комн.,38.59,6826500
2-221,2,28,32,2комн.,63.24,10428400
2-222,2,28,32,2комн.,64.5,10636200
2-223,2,28,32,3комн.,86.25,14459000
2-224,2,28,32,1комн.,38.8,6839900
2-225,2,28,32,1комн.,38.79,6838100
2-226,2,29,32,2комн.,58.34,9694600
2-227,2,29,32,2комн.,68.64,11532000
2-228,2,29,32,2комн.,60.66,10117200
2-229,2,29,32,1комн.,38.59,6899200
2-230,2,29,32,2комн.,63.24,10547500
2-231,2,29,32,2комн.,64.5,10757600
2-232,2,29,32,3комн.,86.25,14621400
2-233,2,29,32,1комн.,38.8,6913000
2-234,2,29,32,1комн.,38.79,6911200
2-235,2,30,32,2комн.,58.34,9804400
2-236,2,30,32,2комн.,68.64,11661300
2-237,2,30,32,2комн.,60.66,10231400
2-238,2,30,32,1комн.,38.59,6971800
2-239,2,30,32,2комн.,63.24,10666600
2-240,2,30,32,2комн.,64.5,10879100
2-241,2,30,32,3комн.,86.25,14783900
2-242,2,30,32,1комн.,38.8,6986000
2-243,2,30,32,1комн.,38.79,6984200
2-244,2,31,32,2комн.,58.34,9914300
2-245,2,31,32,2комн.,68.64,11790600
2-246,2,31,32,2комн.,60.66,10345600
2-247,2,31,32,1комн.,38.59,7044500
2-248,2,31,32,2комн.,63.24,10785700
2-249,2,31,32,2комн.,64.5,11000500
2-250,2,31,32,3комн.,86.25,14946300
2-251,2,31,32,1комн.,38.8,7059100
2-252,2,31,32,1комн.,38.79,7057300
2-253,2,32,32,2комн.,58.34,10134000
2-254,2,32,32,2комн.,68.64,12049100
2-255,2,32,32,2комн.,60.66,10574100
2-257,2,32,32,2комн.,63.24,11023800
2-258,2,32,32,2комн.,64.5,11243500
2-259,2,32,32,3комн.,86.25,15271100
2-260,2,32,32,1комн.,38.8,7205200
2-261,2,32,32,1комн.,38.79,7203400
2-29,2,6,32,2комн.,68.64,10277200
2-8,2,3,32,1комн.,38.8,6225000
3-1,3,3,32,2комн.,60.9,9034200
3-101,3,15,32,1комн.,40.73,6645700
3-105,3,16,32,2комн.,60.9,9178600
3-109,3,16,32,1комн.,40.73,6654200
3-117,3,18,32,1комн.,40.73,6699000
3-124,3,19,32,1комн.,40.73,6701500
3-130,3,20,32,1комн.,40.88,6728700
3-133,3,20,32,2комн.,63.93,9713500
3-138,3,21,32,1комн.,40.73,6707000
3-14,3,4,32,2комн.,65.33,9695300
3-140,3,21,32,2комн.,63.93,9718200
3-145,3,22,32,1комн.,40.73,6710000
3-148,3,23,32,2комн.,60.9,9390900
3-15,3,4,32,3комн.,88.11,13322700
3-151,3,23,32,1комн.,40.88,6796200
3-154,3,23,32,2комн.,63.93,9858100
3-155,3,24,32,2комн.,60.9,9510000
3-156,3,24,32,3комн.,90.49,14384200
3-157,3,24,32,1комн.,41.96,7057800
3-158,3,24,32,1комн.,40.88,6876200
3-159,3,24,32,1комн.,40.73,6850900
3-16,3,4,32,2комн.,58.58,8693600
3-160,3,24,32,2комн.,69.36,10831100
3-161,3,24,32,2комн.,63.93,9983200
3-162,3,25,32,2комн.,60.9,9629200
3-163,3,25,32,3комн.,90.49,14561200
3-164,3,25,32,1комн.,41.96,7139900
3-165,3,25,32,1комн.,40.88,6956100
3-166,3,25,32,1комн.,40.73,6930600
3-168,3,25,32,2комн.,63.93,10108300
3-169,3,26,32,2комн.,60.9,9748300
3-17,3,5,32,2комн.,60.9,9041600
3-170,3,26,32,3комн.,90.49,14793600
3-171,3,26,32,1комн.,41.96,7247700
3-172,3,26,32,1комн.,40.88,7061100
3-173,3,26,32,1комн.,40.73,7035200
3-174,3,26,32,2комн.,69.36,11145000
3-175,3,26,32,2комн.,63.93,10233400
3-176,3,27,32,2комн.,60.9,9867500
3-177,3,27,32,3комн.,90.49,14970600
3-178,3,27,32,1комн.,41.96,7329800
3-179,3,27,32,1комн.,40.88,7141100
3-180,3,27,32,1комн.,40.73,7114900
3-181,3,27,32,2комн.,69.36,11280700
3-182,3,27,32,2комн.,63.93,10358400
3-183,3,28,32,2комн.,60.9,9986700
3-184,3,28,32,3комн.,90.49,15147700
3-185,3,28,32,1комн.,41.96,7411900
3-186,3,28,32,1комн.,40.88,7221100
3-187,3,28,32,1комн.,40.73,7194600
3-188,3,28,32,2комн.,69.36,11416400
3-189,3,28,32,2комн.,63.93,10483500
3-190,3,29,32,2комн.,60.9,10105800
3-191,3,29,32,3комн.,90.49,15324700
3-192,3,29,32,1комн.,41.96,7493900
3-193,3,29,32,1комн.,40.88,7301100
3-194,3,29,32,1комн.,40.73,7274300
3-195,3,29,32,2комн.,69.36,11552100
3-197,3,30,32,2комн.,60.9,10225000
3-198,3,30,32,3комн.,90.49,15501800
