building,floor,height,rooms,rowid,square,price
1-3,1,3,32,1комн.,39.69,4859100
1-9,1,4,32,1комн.,39.69,4861300
1-15,1,5,32,1комн.,39.69,4863600
1-21,1,6,32,1комн.,39.69,4865800
1-45,1,10,32,1комн.,39.69,4921800
1-171,1,32,32,1комн.,39.69,7207300
1-170,1,32,32,1комн.,40.03,7269000
1-173,1,32,32,1комн.,40.04,7270900
1-4,1,3,32,2комн.,62.36,7341600
1-10,1,4,32,2комн.,62.36,7345100
1-16,1,5,32,2комн.,62.36,7348600
1-22,1,6,32,2комн.,62.36,7352200
1-28,1,7,32,2комн.,62.36,7355700
1-34,1,8,32,2комн.,62.36,7359200
1-40,1,9,32,2комн.,62.36,7362700
1-5,1,3,32,2комн.,62.65,7375700
1-11,1,4,32,2комн.,62.65,7379300
1-17,1,5,32,2комн.,62.65,7382800
1-23,1,6,32,2комн.,62.65,7386300
1-29,1,7,32,2комн.,62.65,7389900
1-35,1,8,32,2комн.,62.65,7393400
1-46,1,10,32,2комн.,62.36,7440200
1-47,1,10,32,2комн.,62.65,7474800
1-2,1,3,32,2комн.,65.53,7714800
1-8,1,4,32,2комн.,65.53,7718500
1-14,1,5,32,2комн.,65.53,7722200
1-20,1,6,32,2комн.,65.53,7725900
1-26,1,7,32,2комн.,65.53,7729600
1-32,1,8,32,2комн.,65.53,7733300
1-38,1,9,32,2комн.,65.53,7737000
1-44,1,10,32,2комн.,65.53,7818400
1-7,1,4,32,3комн.,79.41,8979500
1-6,1,3,32,3комн.,86.83,9862600
1-12,1,4,32,3комн.,86.83,9867500
1-18,1,5,32,3комн.,86.83,9872400
1-24,1,6,32,3комн.,86.83,9877300
1-30,1,7,32,3комн.,86.83,9882200
1-36,1,8,32,3комн.,86.83,10034200
1-42,1,9,32,3комн.,86.83,10039100
1-48,1,10,32,3комн.,86.83,10048900
1-172,1,32,32,2комн.,62.36,11031000
1-169,1,32,32,4комн.,101.67,17219000
1-174,1,32,32,4комн.,106.54,18043800
2-4,2,3,32,1комн.,38.59,4724400
