rowid,building,floor,height,rooms,square,price
1-125,1,24,32,1комн.,40.04,6478600
1-145,1,28,32,4комн.,101.67,14121300
1-151,1,29,32,4комн.,101.67,15846300
1-157,1,30,32,4комн.,101.67,16028800
1-174,1,32,32,4комн.,106.54,17233600
1-53,1,11,32,2комн.,62.65,8963800
1-76,1,15,32,2комн.,62.36,8941900
1-82,1,16,32,2комн.,62.36,8945500
1-94,1,19,32,2комн.,62.36,9015300
2-179,2,23,32,1комн.,38.8,6147300
2-182,2,24,32,2комн.,68.64,10333500
2-183,2,24,32,2комн.,60.66,9061500
2-190,2,25,32,2комн.,58.34,8785600
2-191,2,25,32,2комн.,68.64,10456700
2-195,2,25,32,2комн.,64.5,9750800
2-196,2,25,32,3комн.,86.25,13264000
2-201,2,26,32,2комн.,60.66,9314500
2-215,2,27,32,1комн.,38.8,6018900
2-216,2,27,32,1комн.,38.79,6017300
2-225,2,28,32,1комн.,38.79,6010100
2-39,2,7,32,2комн.,60.66,8592100
3-179,3,27,32,1комн.,40.88,6362500
3-182,3,27,32,2комн.,63.93,9178900
3-189,3,28,32,2комн.,63.93,9168500
3-21,3,5,32,1комн.,40.73,6253700
4-112,4,16,23,2комн.,58.66,8485800
4-123,4,18,23,1комн.,40.66,6381800
4-126,4,18,23,2комн.,58.66,8536400
4-160,4,23,23,3комн.,87.99,13541900
4-25,4,6,23,2комн.,61.03,8650900
4-33,4,7,23,2комн.,61.03,8654500
4-89,4,14,23,2комн.,61.03,8805900
5-147,5,20,23,1комн.,41.65,6484300
5-20,5,5,23,2комн.,69.44,10140000
